student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
17248,14.5,66.2,5.9,94,A,Excellent
33280,20.5,66.8,7.6,100,A,Excellent
22655,5.7,84.6,7.5,54.1,D,Poor
3635,18,74.6,6.1,96.6,A,Excellent
32928,7.1,93.5,7.1,72.8,B,Average
22225,22.8,92.9,8.4,100,A,Excellent
20802,13.1,92.7,3.6,81.1,B,Good
228,7.5,76.3,6.5,54.2,D,Poor
9990,9.6,88.5,3.6,65.4,C,Average
20924,15,80.5,5.9,95.8,A,Excellent
32624,12.4,79.3,5.2,73.5,B,Average
29866,11.9,74.7,4.4,80.8,B,Good
1668,11.5,100,7.2,53.6,D,Poor
38401,9.7,78,7,83.9,B,Good
31970,6.1,80.5,3.5,71.6,B,Average
34934,22.6,63.2,4.9,100,A,Excellent
6308,21,78.3,6.5,100,A,Excellent
9970,9.9,81.8,6.3,76.1,B,Good
16885,16.2,85.2,6.4,88.2,A,Good
35595,19.3,73.8,8.3,100,A,Excellent
8006,19,94.7,6,100,A,Excellent
37595,1.2,81.7,1.7,61.1,C,Average
24489,19,84.2,4.6,96.1,A,Excellent
4274,7.4,71.4,4.4,67,C,Average
15778,14.1,75.9,7.1,71.9,B,Average
6239,9.7,79.6,7,82.4,B,Good
S031,4,69,4,54.5,D,Poor
19136,2.4,68.7,3.9,75.7,B,Good
S175,4,61,2,44.5,D,Poor
9681,12.2,66.9,6.1,75.7,B,Good
21570,3.2,92.7,5.3,43.6,D,Poor
15071,3.8,77.4,6.5,56.5,C,Poor
3435,30.9,77.7,4.2,100,A,Excellent
4831,21.1,90.1,4.6,100,A,Excellent
5704,10.8,90.8,6.3,86.9,A,Good
37657,13.6,86.1,6.6,94.1,A,Excellent
9000,20.6,73.9,4.6,100,A,Excellent
32694,12.5,96.2,8.4,74.5,B,Average
7150,9.8,89.8,4.6,77.5,B,Good
16430,6,81.3,7.3,83.8,B,Good
17848,9.7,70.5,5.6,73,B,Average
2221,12.5,67.7,6.8,94.2,A,Excellent
15250,9.9,86.1,5.9,58.3,C,Poor
13941,19.3,99.5,9.4,94.2,A,Excellent
26644,23,78.3,6.6,100,A,Excellent
26761,11.8,100,6.1,88,A,Good
13000,6.4,84.6,3.7,54.4,D,Poor
15099,19.8,79,6.3,94.1,A,Excellent
27811,6.3,95.5,8.5,64.5,C,Average
11750,3.4,83.3,6.2,60.8,C,Average
5529,13.7,86.7,6.6,63.5,C,Average
1168,18.9,73.6,9.3,95.4,A,Excellent
7065,16.7,70.1,4.8,100,A,Excellent
18666,2.8,92,8.8,71.3,B,Average
14912,1.7,92.2,5.6,40.5,D,Poor
12243,19.5,86.1,6.9,97.2,A,Excellent
39038,11.1,79.8,7.3,82.2,B,Good
36797,19.7,90,8.2,100,A,Excellent
25197,12.2,91.3,3.7,78.8,B,Good
32716,20.5,100,3.4,100,A,Excellent
5021,14.6,80,5.8,83,B,Good
2381,8.3,93.9,3.7,73.6,B,Average
15191,7.6,86.7,8.1,78.2,B,Good
14593,23.6,79.6,3.2,100,A,Excellent
3238,6.2,90.9,4.1,74.8,B,Average
1274,12.8,100,6,82.1,B,Good
12807,13.5,73.2,4.2,79.4,B,Good
15839,20.2,78.3,8.7,91.9,A,Excellent
16260,15,95,4.8,93.7,A,Excellent
20782,11.4,90.6,5.5,93.4,A,Excellent
29506,17.5,89.6,6,88.7,A,Good
7458,20.3,95.2,0.5,93.6,A,Excellent
16959,1.1,82.6,7.6,57.2,C,Poor
7390,20.8,100,4.3,84,B,Good
38475,14.4,97.3,3.3,91.4,A,Excellent
15745,8.8,100,5.6,81.9,B,Good
4365,10.8,88.9,6.5,77.2,B,Good
6500,12.5,79.1,5.4,93.9,A,Excellent
34665,9.4,78.9,3.2,78.4,B,Good
9967,11.6,91.8,10,66.4,C,Average
19900,19.2,82.6,6.5,87.6,A,Good
12116,20,84.4,1.8,97.2,A,Excellent
38369,4.4,66.8,5.9,61.1,C,Average
7232,26.8,89.2,5,100,A,Excellent
31796,17.8,79.7,6.2,98.9,A,Excellent
23535,8.4,91.4,10,58.2,C,Poor
26856,19,98.3,4.6,95,A,Excellent
14414,11.4,79.7,9.4,79.2,B,Good
39659,22.4,92.4,5.4,100,A,Excellent
23355,26,91.9,4.6,100,A,Excellent
4829,21.5,69,7.2,100,A,Excellent
5028,11.9,93,7,82.5,B,Good
12197,10.4,81.7,4.6,67.8,C,Average
23282,13.3,84.8,3.4,100,A,Excellent
16410,20,67.5,3.5,99.4,A,Excellent
14031,22.8,93.3,7.9,100,A,Excellent
3049,18,91.8,8.4,100,A,Excellent
5737,19.1,79.6,8,100,A,Excellent
30920,23,100,6.3,100,A,Excellent
27813,23.4,83.7,5.7,100,A,Excellent
9688,4.3,70.6,7.5,82.6,B,Good
11777,5,81,6.2,52.9,D,Poor
15784,9.3,81.2,8.3,68.6,C,Average
5219,11.4,91.7,7.5,78.5,B,Good
37779,15.4,100,8.5,83.7,B,Good
2209,12.8,75.6,8.9,93.3,A,Excellent
2278,7,95.2,4,87,A,Good
328,20.5,93.7,8.2,100,A,Excellent
33325,10.8,89.5,4.6,68.7,C,Average
22383,28.2,94.6,3.3,100,A,Excellent
32297,13.1,86.3,3.8,75.3,B,Good
99,15,80.7,6,100,A,Excellent
23832,17.3,95.1,5.8,89.2,A,Good
13556,12.1,83.1,4.6,77.9,B,Good
23968,19,99.2,4.3,90.6,A,Excellent
13944,11.3,98.3,3.8,82.5,B,Good
24861,7.5,68.7,5.5,51.2,D,Poor
22957,11.9,72.7,4.4,84.2,B,Good
21424,22.8,80.3,6.8,100,A,Excellent
20408,8,100,6.8,77.3,B,Good
25379,21.7,89.4,6.6,100,A,Excellent
27170,14.1,100,5.4,81.7,B,Good
4697,18.6,60.8,5.5,100,A,Excellent
11694,11.7,100,4,70.2,B,Average
21079,25.6,87.7,9.5,100,A,Excellent
16382,17.5,99.8,4.5,100,A,Excellent
20942,19.4,76.4,2.4,88.6,A,Good
8840,19.1,71.8,6,89.2,A,Good
36532,10.3,72.8,10,73.8,B,Average
18755,19.9,78.7,4.1,100,A,Excellent
14795,19.7,84.2,4.5,96.1,A,Excellent
3903,26.7,95.8,3.6,100,A,Excellent
16796,15.2,90.2,6.8,78.8,B,Good
5728,13.4,80.6,6.8,94.8,A,Excellent
12213,0,91.8,4.4,58.5,C,Poor
22832,11.3,77.6,6.1,82.3,B,Good
23199,14.3,79.2,4.7,82,B,Good
7082,23.7,99,3.2,100,A,Excellent
16324,16,93.6,2.1,78.1,B,Good
24080,25.6,87.6,8.2,100,A,Excellent
21837,12.3,98.4,4,87.4,A,Good
30089,13.1,89.9,7.7,91.5,A,Excellent
32985,13.9,82.6,0,72.7,B,Average
33756,10.7,100,7.1,81.3,B,Good
5241,14.3,68.1,2.7,80.4,B,Good
12859,15.1,97.2,2.5,100,A,Excellent
4541,7.7,98.8,7.3,70.5,B,Average
10594,20.8,97.7,10,100,A,Excellent
28770,13.4,84.2,6.6,76.5,B,Good
3218,11.3,82.4,0.2,63.4,C,Average
30111,8.4,77.4,9,54.4,D,Poor
4817,24.2,88.8,5.7,100,A,Excellent
28949,17.6,72.7,4.5,100,A,Excellent
23765,7,80.3,4.8,60.6,C,Average
11754,13.2,100,6,86.3,A,Good
33417,27.4,100,6,100,A,Excellent
33600,18.3,90.2,4.8,95.3,A,Excellent
20570,11.4,85,8.2,71.2,B,Average
475,26.5,77.8,6.3,100,A,Excellent
32141,7.3,86.7,4.1,85.9,A,Good
9544,11,95,6.6,88,A,Good
24568,10.8,87.2,7.9,81.1,B,Good
23074,16.8,89,5.9,98.8,A,Excellent
5859,12.9,90.7,6.7,74.5,B,Average
34892,6.2,93.1,7.6,58.4,C,Poor
36548,26.5,80.1,7.7,100,A,Excellent
7790,22.9,96.8,8.5,85.6,A,Good
5250,18,84.5,8.1,90.5,A,Excellent
31243,15,82.7,5.7,71.2,B,Average
18086,13.6,86.7,5.3,74.7,B,Average
23242,24.9,66.7,6.1,100,A,Excellent
20090,22,87.8,7.3,97.2,A,Excellent
3093,14.3,87.7,5.8,92,A,Excellent
4461,23.3,81.7,6,98.3,A,Excellent
24059,16.9,93.6,7.9,96.7,A,Excellent
17475,20.3,70.2,2.1,100,A,Excellent
2366,25.7,75.3,2,100,A,Excellent
36651,24,67.7,6.6,100,A,Excellent
17107,12.6,83.2,7.2,82.2,B,Good
11247,16.5,87.3,5.9,100,A,Excellent
3575,6.1,86.3,10,69.9,C,Average
8124,14.9,99.2,4.4,100,A,Excellent
38284,15.4,57,6,89.6,A,Good
28883,16.1,99.8,6.1,97.5,A,Excellent
29402,14,81.6,7.1,84.5,B,Good
34400,15.9,95.4,7.1,93.2,A,Excellent
16876,13.2,83.8,4.5,66.1,C,Average
3419,6,94.5,8,84.4,B,Good
15156,15.2,81.9,5.5,99.2,A,Excellent
15871,6.5,87.4,9.3,67.5,C,Average
20911,15.3,76.3,10,97.1,A,Excellent
11147,10.1,70.2,5.6,66.4,C,Average
25831,1.7,88,7.7,54.1,D,Poor
39446,25.5,91.8,7.6,100,A,Excellent
21468,14.8,84.4,4.9,84.6,B,Good
13100,15.3,83.3,10,75.9,B,Good
6507,23.9,79.2,4.4,100,A,Excellent
16715,8.8,81.6,4.2,52.2,D,Poor
23448,17.9,100,7.4,93,A,Excellent
33468,8,71.3,5.6,76.6,B,Good
5221,27.5,75.1,6.1,100,A,Excellent
11154,0,83.5,6.9,44.6,D,Poor
3958,13.3,74.7,6.1,75,B,Good
566,12.1,80.1,9.8,100,A,Excellent
36048,13.3,77.6,3.4,71.5,B,Average
5407,4.3,82.6,3.1,67.7,C,Average
23611,11.6,100,4.6,71.8,B,Average
15197,18.3,90.9,6.7,84.5,B,Good
21785,19.8,76.2,6.7,87.8,A,Good
24111,17.4,83.1,6.5,100,A,Excellent
2416,16.9,81.2,6.5,86.7,A,Good
27600,17.8,85.4,3.2,92.1,A,Excellent
14405,10.3,80.2,4.3,71.1,B,Average
9740,17.8,88.6,5.5,100,A,Excellent
7363,22.4,81.7,4.4,88.4,A,Good
26398,20.3,83.8,3.3,99.4,A,Excellent
37168,21.3,55.7,7.8,100,A,Excellent
30059,11.1,100,5.3,80.8,B,Good
19829,14.2,80.5,5.7,71.4,B,Average
19723,16.9,88.2,9.7,100,A,Excellent
35605,7.4,83.3,8.5,71.6,B,Average
S083,17,69,2,74.5,B,Average
37764,13.3,91,3.9,75.4,B,Good
13085,14.1,75.7,1,70.3,B,Average
3634,20.2,70.5,1.9,100,A,Excellent
30501,12.9,98,3,72.4,B,Average
22605,17.9,98.1,5.7,81.6,B,Good
9354,16.2,84.4,5.3,100,A,Excellent
15749,21.9,86.2,7.4,100,A,Excellent
19264,10.9,90.3,5.9,68.1,C,Average
37766,25.9,93.6,6.8,100,A,Excellent
3738,13.9,88.1,7.8,100,A,Excellent
6615,20.4,72.8,4.4,93.9,A,Excellent
16063,26.8,79.9,5,100,A,Excellent
32888,10.6,95,6.9,69.3,C,Average
22819,30.1,88.6,4.3,100,A,Excellent
32543,9.8,76,3.4,66.5,C,Average
12730,17.9,78.5,4.9,83.1,B,Good
21697,27.3,79.1,6.6,100,A,Excellent
12162,19.9,92.3,5.9,84.1,B,Good
17569,5.3,87,3.6,47.9,D,Poor
4262,13,99,7.6,96.7,A,Excellent
2370,23.7,100,7.3,100,A,Excellent
11293,23.2,79.2,3.1,100,A,Excellent
23214,26.7,86.9,3.9,100,A,Excellent
13054,30.2,93.6,7.4,100,A,Excellent
22152,5.4,82.3,6.8,49.6,D,Poor
19639,15.3,89.6,5.2,99.4,A,Excellent
63,7.3,68.3,6.9,67.1,C,Average
31153,17.8,100,7.4,100,A,Excellent
27789,15.8,87.5,6.4,79.3,B,Good
17204,15.2,75.2,5.3,81.1,B,Good
1088,16.7,95.4,7.5,93.1,A,Excellent
12798,10.6,90.5,5.5,79.1,B,Good
8720,9.4,67,5.8,65.2,C,Average
35895,18.8,70.5,8.6,100,A,Excellent
17170,17.1,79.8,5.5,100,A,Excellent
21616,10.1,80.6,4.4,67.7,C,Average
39727,14.7,81.1,6.5,76.8,B,Good
32661,13.4,93.3,5.1,87.2,A,Good
29021,17.7,88.1,7,100,A,Excellent
4639,0.9,96.7,7.5,38.6,F,Poor
22853,18.6,75.3,4.1,88.8,A,Good
20497,23,100,3.2,100,A,Excellent
29670,9.8,86.9,8,72.5,B,Average
11935,12.4,98.5,6.7,77.5,B,Good
25285,6.6,82.6,5.6,77.9,B,Good
22720,18.1,92.7,4.4,99,A,Excellent
21857,7.2,73,8.6,52.7,D,Poor
4912,24.3,89.9,7.5,100,A,Excellent
13612,9.3,100,8.3,95.9,A,Excellent
19937,4.5,72.1,4.5,57.9,C,Poor
6216,3.5,74.3,5,66.5,C,Average
