student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
S001,4,96,7,77.0,B,Good
S002,10,65,2,58.5,D,Poor
S003,3,72,6,60.0,C,Average
S004,1,98,10,81.0,A,Good
S005,3,87,3,58.5,D,Poor
S006,12,94,2,77.0,B,Good
S007,13,85,1,71.5,B,Good
S008,15,62,10,91.0,A+,Excellent
S009,5,85,4,64.5,C,Average
S010,3,52,9,59.0,D,Poor
S011,3,88,1,53.0,D,Poor
S012,6,51,7,58.5,D,Poor
S013,20,89,9,111.5,A+,Excellent
S014,4,80,5,63.0,C,Average
S015,1,78,1,44.0,D,Poor
S016,19,95,4,97.5,A+,Excellent
S017,14,98,7,98.0,A+,Excellent
S018,14,92,10,104.0,A+,Excellent
S019,8,57,7,65.5,C,Average
S020,15,72,4,78.0,B,Good
S021,5,91,7,76.5,B,Good
S022,1,81,3,51.5,D,Poor
S023,9,68,10,82.0,A,Good
S024,12,61,5,69.5,C,Average
S025,7,69,8,72.5,B,Good
S026,9,83,5,74.5,B,Good
S027,2,54,3,40.0,D,Poor
S028,5,57,4,50.5,D,Poor
S029,6,54,9,66.0,C,Average
S030,17,73,6,88.5,A,Excellent
S031,4,69,4,54.5,D,Poor
S032,20,71,9,102.5,A+,Excellent
S033,13,56,5,69.0,C,Average
S034,2,96,10,82.0,A,Good
S035,3,71,6,59.5,D,Poor
S036,5,68,10,74.0,B,Good
S037,10,57,1,51.5,D,Poor
S038,15,51,1,58.5,D,Poor
S039,20,82,2,87.0,A,Excellent
S040,3,56,8,58.0,D,Poor
S041,15,77,4,80.5,A,Good
S042,3,63,9,64.5,C,Average
S043,4,63,6,57.5,D,Poor
S044,10,92,10,96.0,A+,Excellent
S045,11,51,9,74.5,B,Good
S046,5,97,9,85.5,A,Excellent
S047,17,75,6,89.5,A,Excellent
S048,3,61,3,45.5,D,Poor
S049,11,79,3,70.5,B,Good
S050,20,52,2,72.0,B,Good
S051,4,76,8,70.0,B,Good
S052,11,67,10,85.5,A,Excellent
S053,17,91,8,103.5,A+,Excellent
S054,10,69,2,60.5,C,Average
S055,4,74,6,63.0,C,Average
S056,20,81,6,98.5,A+,Excellent
S057,2,60,2,40.0,D,Poor
S058,13,63,2,63.5,C,Average
S059,13,70,2,67.0,C,Average
S060,16,88,7,97.0,A+,Excellent
S061,14,93,8,98.5,A+,Excellent
S062,7,59,1,46.5,D,Poor
